level,model_id,model_name,model_class,input_features,prediction_granularity,validation_method,MAE,RMSE,WAPE,WAPE_pct,window_WAPE_mean,window_WAPE_std,actual_sum,prediction_sum,n_units,runtime_seconds,running_complexity,interpretability,paper_writeability,advantages,disadvantages,suitable_for_paper,leakage_risk
product,stage2_best,原问题一最优模型,原方案,历史正向销量；门店层为7日移动平均，商品和门店-商品层为简单指数平滑,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,22.79008915048245,39.854330126148355,0.21510230439341624,21.510230439341623,0.21323411941925677,0.029081810295491898,6357.0,5905.304801835223,60,0.918214199999511,低：每个序列只需最近历史值和平滑递推,高,高,与阶段2方案一致，公式简单，容易复现,不能显式利用星期、月份、序列间共性或低销量平滑,是,低
product,seasonal_naive_7,上周同日朴素预测,简单baseline,目标日前7天同星期销量,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,25.7,42.62276387096454,0.24256724870221802,24.256724870221802,0.24393202012434162,0.03969727601762847,6357.0,6063.0,60,0.20105169999987993,低：查找上周同日,高,高,直接利用星期周期，适合短期零售销量,对促销、异常高销量和趋势变化敏感,是,低
product,historical_mean_28,近28日历史均值,简单baseline,目标日前28天正向销量均值,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,27.508333333333333,48.920513761270605,0.25963504797860626,25.963504797860626,0.2547710463657461,0.07008184174978908,6357.0,5556.0,60,0.10768189999953393,低：窗口均值,高,高,最朴素参照，能检验复杂模型是否有必要,忽略星期效应和近期结构变化,是,低
product,lag_random_forest,滞后滚动特征随机森林,机器学习模型,与滞后滚动特征岭回归相同,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,33.670611639643745,57.73915110248977,0.31779718395133316,31.779718395133315,0.3246184768734047,0.14159299569499895,6357.0,7146.290105236942,60,1.5374327999998059,中高：多棵树集成，训练耗时更高,中低,中,能拟合非线性和变量交互，通常有更强拟合能力,解释成本高，样本较稀疏时可能不稳定,谨慎,低，已先shift再rolling并递推预测
product,lag_ridge,滞后滚动特征岭回归,特征工程模型,lag1/7/14、rolling3/7/14、近14日非零率、星期、月份、门店/商品/类别固定效应,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,37.54931005092628,51.05647521186372,0.3544059466817016,35.440594668170164,0.3545798544609101,0.06989301406364272,6357.0,7050.837719116283,60,0.4619533000004594,中：需要递推构造未来7天特征,中,中,兼顾近期水平、星期周期和对象差异，仍是线性可解释模型,特征构造比原方案复杂，递推预测会累积误差,是,低，已先shift再rolling并递推预测
product,calendar_ridge,日历固定效应岭回归,可解释统计模型,星期、月份、周末/休息日/节假日、门店/商品/类别固定效应,商品层面直接预测,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,49.05429591944153,61.42484585400715,0.4629947703581079,46.29947703581079,0.4635749202374515,0.07481361039680183,6357.0,7577.2945215059435,60,0.12870639999982814,中低：线性模型加哑变量,中高,中高,可解释日历规律和不同对象的平均差异，不依赖未来销量,不能充分利用近期销量水平变化,是,低
product_via_store_product,stage2_best,原问题一最优模型,原方案,历史正向销量；门店层为7日移动平均，商品和门店-商品层为简单指数平滑,先门店-商品预测，再汇总到商品,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,24.23804952003264,40.528251893757506,0.22876875431838264,22.876875431838265,0.22791444205144304,0.03960457478821553,6357.0,5982.614911854878,60,8.115207499999997,低：每个序列只需最近历史值和平滑递推,高,高,与阶段2方案一致，公式简单，容易复现,不能显式利用星期、月份、序列间共性或低销量平滑,是,低
product_via_store_product,seasonal_naive_7,上周同日朴素预测,简单baseline,目标日前7天同星期销量,先门店-商品预测，再汇总到商品,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,25.7,42.62276387096454,0.24256724870221802,24.256724870221802,0.24393202012434162,0.03969727601762847,6357.0,6063.0,60,0.9917598999995789,低：查找上周同日,高,高,直接利用星期周期，适合短期零售销量,对促销、异常高销量和趋势变化敏感,是,低
product_via_store_product,historical_mean_28,近28日历史均值,简单baseline,目标日前28天正向销量均值,先门店-商品预测，再汇总到商品,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,27.508333333333333,48.920513761270605,0.25963504797860626,25.963504797860626,0.2547710463657461,0.07008184174978908,6357.0,5556.0,60,0.912235000000237,低：窗口均值,高,高,最朴素参照，能检验复杂模型是否有必要,忽略星期效应和近期结构变化,是,低
product_via_store_product,lag_random_forest,滞后滚动特征随机森林,机器学习模型,与滞后滚动特征岭回归相同,先门店-商品预测，再汇总到商品,5个7日窗口总销量验证；训练集只使用窗口开始日前历史；滞后特征递推预测,32.44845350731279,44.385315357171365,0.30626194910158366,30.626194910158368,0.3117923465318201,0.1286792718952201,6357.0,7728.231657737959,60,5.931068500000038,中高：多棵树集成，训练耗时更高,中低,中,能拟合非线性和变量交互，通常有更强拟合能力,解释成本高，样本较稀疏时可能不稳定,谨慎,低，已先shift再rolling并递推预测
